Hour of Day,AVERAGE of favorite_count (Mon Jan 04),AVERAGE of retweet_count (Mon Jan 04),AVERAGE of favorite_count (Tue Jan 05),AVERAGE of retweet_count (Tue Jan 05),AVERAGE of favorite_count (Wed Jan 06),AVERAGE of retweet_count (Wed Jan 06),AVERAGE of favorite_count (Thu Jan 07),AVERAGE of retweet_count (Thu Jan 07),AVERAGE of favorite_count (Fri Jan 08),AVERAGE of retweet_count (Fri Jan 08),AVERAGE of favorite_count (Grand Total),AVERAGE of retweet_count (Grand Total)
12:00 AM,0,44.17,2.8,1,0.8,0.8,2.5,1.93,2.58,1.67,2,7.64
1:00 AM,3,0,1.78,61.11,1.67,38.33,0.57,3.29,2.25,1,1.66,27.83
2:00 AM,2.5,8.5,0,3,2.29,1.07,0.13,10.25,1,2.64,1.24,4.04
3:00 AM,2.5,34.38,1.17,1.83,0.88,1.65,0,101.5,0.46,47.03,0.84,32.24
4:00 AM,3,0.33,0,0,0.75,2,1,0.67,1.29,1,1.41,1.06
5:00 AM,2,0,7.5,0.5,0.57,14.57,0,33,0,1,1.4,15.73
6:00 AM,1.4,57.8,0.5,0,1.6,2.6,1,3.33,0,0,1.32,35.6
7:00 AM,0.75,2.5,4,1,1,0,1.33,21.5,0,0,1.23,10.77
8:00 AM,0,0,1.67,2.67,2,159.67,2,1,0.82,1.45,1.3,25.3
9:00 AM,0.5,0,0.73,3.73,2,0,1,0.63,1,0.5,0.91,1.52
10:00 AM,2,0,0.88,0.5,1.71,2.57,0,1.17,0.25,1.5,0.85,1.35
11:00 AM,2.33,0,0.33,1.67,0.33,50.5,0.2,1.8,0,13,0.52,23.63
12:00 PM,0.8,0,1.29,0.86,0.67,0.67,0.75,1.5,0,0,0.9,0.7
1:00 PM,1.42,0.92,1.6,39.8,1.38,2.38,0,44,1.17,0.83,1.34,8.69
2:00 PM,0.42,1.83,0.57,27,0.9,17.1,1.64,15,0.95,11.14,0.92,12.8
3:00 PM,0.92,0.58,0.63,13,0.83,1.44,1.83,0.44,0.76,4.81,1,4.12
4:00 PM,0.95,29.14,0.76,20.29,1,5.63,0.75,34.75,1.5,14.33,1.05,21.5
5:00 PM,0.75,12.25,1.38,3,0.58,19.67,1.45,1.73,0.64,0.18,0.87,10.62
6:00 PM,1.67,4.58,1.5,2,1.58,0.42,1.92,1.54,1.65,0.9,1.68,1.75
7:00 PM,1.09,56.64,0.67,0.83,1.12,2.06,2.13,1.04,0.92,29,1.37,15.2
8:00 PM,2.38,2.13,1.21,1.64,1.54,1.23,0.95,1.15,0.68,27.23,1.17,8.81
9:00 PM,1.92,3.42,0.9,3.4,2.19,1.81,2.29,1.29,0.27,70.82,1.54,15.93
10:00 PM,2.88,2.38,1.4,2.13,0.33,2.67,1.47,0.53,0.55,1.09,1.3,1.6
11:00 PM,4.5,2.5,1.3,1.4,0.7,2.6,1.6,1.6,,,1.59,1.94
Grand Total,1.49,16.76,1.16,9.49,1.13,10.63,1.38,6.44,0.97,16.55,1.2,12.03
